,name,numeric_id,id,barcode
143,Ifit1,143,NM_008331,0  1  0  0  0  0  1  0  0  1  0  0  0  0  0  0  0  0  1  0
144,Ifit2,144,NM_008332,1  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  0  0  0  0
145,Ifit3,145,NM_010501,0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0  0
146,Igfbp5,146,NM_010518,0  0  1  0  0  0  1  1  0  0  0  0  0  0  1  0  0  0  0  0
147,Il1b,147,NM_008361,0  0  0  0  1  0  0  0  1  0  0  1  1  0  0  0  0  0  0  0
148,Il2rb,148,NM_008368,0  0  0  0  1  0  0  1  0  0  0  0  0  1  0  0  0  1  0  0
149,Inhba,149,NM_008380,0  0  0  0  0  1  1  1  0  1  0  0  0  0  0  0  0  0  0  0
150,Isg15,150,NM_015783,0  0  0  0  1  0  1  0  0  0  0  0  1  0  1  0  0  0  0  0
151,Itga1,151,NM_001033228,0  1  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  1  0  0
152,Itga4,152,NM_010576,1  1  0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0
153,Itgam,153,NM_008401,0  0  0  1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  1
154,Itgax,154,NM_021334,1  0  0  1  0  1  1  0  0  0  0  0  0  0  0  0  0  0  0  0
155,Kif11,155,NM_010615,0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  1  0  0  0
156,Kif20b,156,NM_183046,0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  1  0  0  0
157,Kif23,157,NM_024245,1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  1  1
158,Kitl,158,NM_013598,0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  1  0  0  1  0
159,Krt14,159,NM_016958,0  0  0  0  1  1  0  0  0  0  0  0  0  1  1  0  0  0  0  0
160,Krt19,160,NM_008471,0  0  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0  1
161,Krt5,161,NM_027011,0  0  1  0  0  1  0  0  0  0  0  1  0  0  0  1  0  0  0  0
162,L1cam,162,NM_008478,0  0  1  0  1  0  0  0  0  0  0  0  0  0  1  0  1  0  0  0
163,Lamb1,163,NM_008482,1  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0  0  0  0
164,Lbp,164,NM_008489,0  0  0  0  0  0  0  1  0  1  0  0  1  0  0  0  1  0  0  0
165,Lcn2,165,NM_008491,0  0  0  0  0  0  0  0  1  1  1  0  1  0  0  0  0  0  0  0
166,Lcp1,166,NM_008879,0  0  0  1  0  0  0  0  0  0  0  0  1  0  1  0  0  0  1  0
167,Lhfp,167,NM_175386,1  0  0  0  0  0  0  1  0  0  1  0  0  0  0  0  1  0  0  0
168,Lmnb1,168,NM_010721,0  0  1  0  0  0  0  0  0  0  0  1  0  0  1  0  0  0  0  1
169,Lrp1,169,NM_008512,0  0  0  0  0  0  0  1  0  0  1  0  1  1  0  0  0  0  0  0
170,Lsp1,170,NM_001136071,0  0  0  0  0  0  0  0  0  1  1  0  0  0  0  0  0  0  1  1
171,Ltb,171,NM_008518,0  0  0  0  0  0  1  0  1  0  0  1  0  0  0  1  0  0  0  0
172,Ly6a,172,NM_001271419,0  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0  0  0  1
173,Mctp1,173,NM_030174,0  0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  1  0
174,Mfap5,174,NM_015776,0  0  0  0  0  1  0  0  0  1  0  0  1  1  0  0  0  0  0  0
175,Mgst1,175,NM_019946,0  0  0  0  0  1  0  0  1  0  1  1  0  0  0  0  0  0  0  0
176,Mki67,176,NM_001081117,0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  0  0  1  0  0
177,Mmp12,177,NM_008605,1  0  1  0  0  0  0  0  0  0  0  0  0  0  0  1  1  0  0  0
178,Mmp2,178,NM_008610,0  0  0  1  0  0  0  0  1  0  0  0  0  0  0  0  0  1  0  1
179,Mmp9,179,NM_013599,0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0  0  1  0
180,Mrc1,180,NM_008625,0  0  0  1  0  0  0  0  1  0  0  0  0  1  0  0  0  0  1  0
181,Ms4a4b,181,NM_021718,0  0  0  0  0  0  0  0  0  0  0  0  0  1  0  0  1  0  1  1
182,Ms4a4c,182,NM_029499,0  0  0  0  0  0  1  0  0  1  0  1  1  0  0  0  0  0  0  0
183,Ms4a6c,183,NM_028595,1  0  0  1  0  0  0  0  0  0  1  0  0  0  1  0  0  0  0  0
184,Ms4a6d,184,NM_026835,0  0  0  0  0  0  0  0  1  0  0  1  0  1  1  0  0  0  0  0
185,Mt2,185,NM_008630,0  1  0  0  0  0  0  0  0  1  0  0  0  0  0  1  1  0  0  0
186,Mxi1,186,NM_001008542,0  1  0  0  0  0  0  1  0  0  0  0  0  0  1  0  1  0  0  0
187,Napsa,187,NM_008437,0  0  0  0  0  0  0  0  1  0  1  0  0  0  0  0  1  0  1  0
188,Ndufa4l2,188,NM_001098789,0  0  0  0  0  1  0  1  0  0  1  0  0  0  1  0  0  0  0  0
189,Nes,189,NM_016701,0  0  0  1  1  0  0  0  0  1  0  0  0  0  0  0  0  1  0  0
190,Neurl3,190,NM_153408,0  0  0  0  0  0  0  0  0  0  0  1  0  0  0  1  0  0  1  1
191,Nkg7,191,NM_024253,0  0  1  0  0  0  0  0  0  0  1  0  0  0  1  1  0  0  0  0
192,Nos2,192,NM_010927,0  0  1  0  0  1  1  0  0  0  0  0  0  0  0  0  0  0  1  0
